academia cursor	akatemian vahtimestari	academy janitor
inspektör	tarkastaja	controller
instruktör	harjoitusopettaja	instructor
instrumentmakare	soittimentekijä, mittausvälineiden tekijä	instrument maker (musical / technical), measures maker
intern	sisäoppilas	boarding school student
intressent	osakas	shareholder
ispravnikka	piirikunnan poliisipäällikkö (ven. ispravnik)	district sheriff in Russia
isvosikka	vuokra-ajuri, vosikka, issikka (ven izvoztshik)	coachman, cab driver
jagtkarl	metsästäjä	hunter
jagtstyrman	jahdin perämies	yacht mate
jarl	jaarli	earl
jefreittari	korpraali Venäjän armeijassa	corporal, Russian infantry
jonglör	ilveilijä	jester, clown
jordbrukare	maanviljelijä	farmer
jordegumma, jordemoder	kätilö	midwife
journalist	lehtimies	journalist
jungman	jungmanni, merimies	ordinary seaman
junkare	nuori alempi aatelismies, maa-aatelin edustaja	young man of the lower nobility
jurisdoktor	lakitieteen tohtori	doctor or law
jurist	lakimies	lawyer
justerare	vaaitsija, punnitsija	inspector of measures
justitieråd	oikeusneuvos	justice of the supreme court
juvelerare	jalokivikauppias	jeweller
jägare	metsästäjä, jääkäri	hunter, rifleman (soldier)
jägarekorporal	jääkärikorpraali	rifleman corporal
jägmästare	metsänvartija	certified forester
järnkramhandlare	romukauppias	ironmonger
järnsmed	rautio, rautaseppä	iron smith
kadett	kadetti, sotakoulun oppilas	cadet, midshipman
kakelungsmakare	kaakeliuunin tekijä	stove builder, tiled stove builder
kammarförvandt	apukamreeri	assistant chief accountant
kammarherre	kamariherra	chamberlain
kammarjungfru	kamarineito	chambermaid
kammarråd	kamarineuvos	privy councellor
kamrer	kamreeri	head clerk, accountant
kannstöpare	kannunvalaja	jug smith
kansler, kanslipresident	kansleri, kansliakollegion esimies, 1680-l alkaen kansliapresidentti	chancellor
kanslist	kanslisti	clerk
kantor	kanttori	cantor, precentor
kanonier	tykkimies (laivasto)	gunner (navy)
kapellan, kapellanus	kappalainen, kappeliseurakunnan pastori tai suuren seurakunnan vakinainen apulaispappi	chaplain, curate
karduansmakare	hienonahkuri (kirjojen kansinahkaa, kenkänahkaa ym.)	tanner of fine leather
kasakka	renki, päivätyömies (vir. kasakas, ven. kazak); hist. venäläinen sotilaskansanluokka	farm hired hand, day labourer; cossack
